,market_forward_return
20150105,0.000277
20150106,0.006716
20150107,-0.023859
20150108,-0.002442
20150109,-0.017074
20150112,0.001853
20150113,-0.003976
20150114,0.035383
20150115,0.012001
20150116,-0.077046
20150119,0.018195
20150120,0.047449
20150121,0.005937
20150122,0.002518
20150123,0.009374
20150126,-0.008933
20150127,-0.014084
20150128,-0.013139
20150129,-0.015922
20150130,-0.025562
20150202,0.024488
20150203,-0.009604
20150204,-0.011844
20150205,-0.019328
20150206,0.006248
20150209,0.015014
20150210,0.005128
20150211,0.004976
20150212,0.009583
20150213,0.005786
20150216,0.007616
20150217,-0.005563
20150225,0.02153
20150226,0.003621
20150227,0.007849
20150302,-0.02195
20150303,0.005051
20150304,-0.00947
20150305,-0.002244
20150306,0.018888
20150309,-0.004948
20150310,0.00147
20150311,0.017753
20150312,0.007043
20150313,0.022649
20150316,0.015523
20150317,0.021255
20150318,0.001389
20150319,0.009783
20150320,0.019465
20150323,0.000998
20150324,-0.008312
20150325,0.005837
20150326,0.002445
20150327,0.025865
20150330,-0.010212
20150331,0.016648
20150401,0.004065
20150402,0.009971
20150403,0.02522
20150407,0.00844
20150408,-0.009331
20150409,0.0194
20150410,0.021665
20150413,0.00336
20150414,-0.012429
20150415,0.027095
20150416,0.022045
20150417,-0.016378
20150420,0.018151
20150421,0.024425
20150422,0.003641
20150423,-0.004717
20150424,0.030432
20150427,-0.011305
20150428,9.00E-05
20150429,-0.007811
20150430,0.008738
20150504,-0.040567
20150505,-0.016154
20150506,-0.027677
20150507,0.022787
20150508,0.030354
20150511,0.015607
20150512,-0.005785
20150513,0.000583
20150514,-0.015901
20150515,-0.005849
20150518,0.031297
20150519,0.006505
20150520,0.018697
20150521,0.028298
20150522,0.033537
20150525,0.020171
20150526,0.006275
20150527,-0.065048
20150528,-0.001844
20150529,0.047052
20150601,0.016938
20150602,-0.000112
20150603,0.007561
20150604,0.015361
20150605,0.021657
20150608,-0.003575
20150609,-0.001466
20150610,0.003047
20150611,0.008739
20150612,-0.020006
20150615,-0.034675
20150616,0.016464
20150617,-0.036744
20150618,-0.064152
20150619,0.021912
20150623,0.024835
20150624,-0.03462
20150625,-0.073967
20150626,-0.033353
20150629,0.055315
20150630,-0.052259
20150701,-0.034766
20150702,-0.057722
20150703,0.024139
20150706,-0.012921
20150707,-0.059009
20150708,0.057635
20150709,0.045419
20150710,0.023875
20150713,-0.011561
20150714,-0.030267
20150715,0.004591
20150716,0.035095
20150717,0.008783
20150720,0.006404
20150721,0.002083
20150722,0.024311
20150723,-0.012856
20150724,-0.084834
20150727,-0.016791
20150728,0.034443
20150729,-0.022011
20150730,-0.011344
20150731,-0.011142
20150803,0.036887
20150804,-0.016497
20150805,-0.008941
20150806,0.022577
20150807,0.049199
20150810,-0.000129
20150811,-0.010588
20150812,0.017558
20150813,0.002726
20150814,0.007145
20150817,-0.061473
20150818,0.012258
20150819,-0.034216
20150820,-0.042722
20150821,-0.084909
20150824,-0.076307
20150825,-0.012708
20150826,0.053395
20150827,0.048242
20150828,-0.008156
20150831,-0.012278
20150901,-0.002039
20150902,-0.025235
20150907,0.029227
20150908,0.022911
20150909,-0.013936
20150910,0.000732
20150911,-0.026697
20150914,-0.035195
20150915,0.048946
20150916,-0.021001
20150917,0.003842
20150918,0.018923
20150921,0.009212
20150922,-0.021889
20150923,0.008601
20150924,-0.016018
