,Q_1,Q_2,Q_3,Q_4,Q_5,Q_LS
2018-01-02,1.0,1.0,1.0,1.0,1.0,1.0
2018-01-03,1.00567875,1.0,1.0083687740851381,1.0,1.0,1.0
2018-01-04,1.0118531705566665,1.0,1.009768135130618,1.0,1.0,1.0
2018-01-05,1.0141074973785178,1.0,1.0107772126490777,1.0,1.0,1.0
2018-01-08,1.0125505465886884,1.0,1.0125899636100368,1.0,1.0,1.0
2018-01-09,1.0189942876154952,1.0,1.0126839780603167,1.0,1.0,1.0
2018-01-10,1.013336423732939,1.0,1.0050648941088802,1.0,1.0,1.0
2018-01-11,1.0105911111180603,1.0,1.0118175167438652,1.0,1.0,1.0
2018-01-12,1.0084948293438791,1.0,1.0074090066898107,1.0,1.0,1.0
2018-01-15,0.9826614006011768,1.0,0.9825283909225647,1.0,1.0,1.0
2018-01-16,0.9882264928731814,1.0,0.9905676890449099,1.0,1.0,1.0
2018-01-17,0.9854168620136833,1.0,0.9921634444609598,1.0,1.0,1.0
2018-01-18,0.9925758622504364,1.0,0.9941522558567548,1.0,1.0,1.0
2018-01-19,0.9853310284733282,1.0,0.9928031678325512,1.0,1.0,1.0
2018-01-22,0.9822754336866215,1.0,0.998267633980114,1.0,1.0,1.0
2018-01-23,0.9767035161110111,1.0,1.0006470045273899,1.0,1.0,1.0
2018-01-24,0.9762837206274162,1.0,1.0076275788397984,1.0,1.0,1.0
2018-01-25,0.9715223384322154,1.0,1.0059030730878222,1.0,1.0,1.0
2018-01-26,0.9605415538038213,1.0,1.0035493748161053,1.0,1.0,1.0
2018-01-29,0.9450390813282478,1.0,0.9924984480501353,1.0,1.0,1.0
2018-01-30,0.9339546673162551,1.0,0.9904865935873748,1.0,1.0,1.0
2018-01-31,0.89504125931159,1.0,0.965782547876636,1.0,1.0,1.0
2018-02-01,0.8524807392940986,1.0,0.927814177383317,1.0,1.0,1.0
2018-02-02,0.8377596947329882,1.0,0.9212479472876908,1.0,1.0,1.0
2018-02-05,0.8294573672720773,1.0,0.9150556390637712,1.0,1.0,1.0
2018-02-06,0.787243883637909,1.0,0.8669047883957631,1.0,1.0,1.0
2018-02-07,0.7809628120038402,1.0,0.8710730941428547,1.0,1.0,1.0
2018-02-08,0.7842362013602957,1.0,0.8815987537304322,1.0,1.0,1.0
