,Q_1,Q_2,Q_3,Q_4,Q_5,Q_LS
2018-01-02,1.0,1.0,1.0,1.0,1.0,1.0
2018-01-03,1.004583,1.0,1.0083509137037037,1.0,1.0,1.0
2018-01-04,1.0220237200142308,1.0,1.009720624582946,1.0,1.0,1.0
2018-01-05,1.0263154020193146,1.0,1.0107346694944548,1.0,1.0,1.0
2018-01-08,1.0270497773401597,1.0,1.0124922558982068,1.0,1.0,1.0
2018-01-09,1.0219776453306846,1.0,1.0126790224631095,1.0,1.0,1.0
2018-01-10,1.009967875031581,1.0,1.0051143773801627,1.0,1.0,1.0
2018-01-11,1.0337417613339182,1.0,1.0116790242332114,1.0,1.0,1.0
2018-01-12,1.0380994135836745,1.0,1.0072601423735017,1.0,1.0,1.0
2018-01-15,1.0233048359810455,1.0,0.9822618851669852,1.0,1.0,1.0
2018-01-16,1.0378198181516156,1.0,0.9902359909757102,1.0,1.0,1.0
2018-01-17,1.0517075523081856,1.0,0.991696166000481,1.0,1.0,1.0
2018-01-18,1.0484370423083793,1.0,0.9937789111082014,1.0,1.0,1.0
2018-01-19,1.0535009932227286,1.0,0.992330984104575,1.0,1.0,1.0
2018-01-22,1.0728275928846929,1.0,0.997498431074343,1.0,1.0,1.0
2018-01-23,1.0693736244494005,1.0,0.9997862300470028,1.0,1.0,1.0
2018-01-24,1.0791626706076105,1.0,1.0066262984501047,1.0,1.0,1.0
2018-01-25,1.068474489351817,1.0,1.004896996126265,1.0,1.0,1.0
2018-01-26,1.0608275361509139,1.0,1.0024401085467702,1.0,1.0,1.0
2018-01-29,1.0463498287016422,1.0,0.991299127362239,1.0,1.0,1.0
2018-01-30,1.0328431646219145,1.0,0.9891836573404262,1.0,1.0,1.0
2018-01-31,1.0212047779900053,1.0,0.9640686107667319,1.0,1.0,1.0
2018-02-01,0.9663117533177529,1.0,0.9260241860557982,1.0,1.0,1.0
2018-02-02,0.9450754581242022,1.0,0.9193463255885981,1.0,1.0,1.0
2018-02-05,0.9298854493008636,1.0,0.9130956046835135,1.0,1.0,1.0
2018-02-06,0.8860441916829785,1.0,0.8650670048626882,1.0,1.0,1.0
2018-02-07,0.8852558849813628,1.0,0.8689896063795137,1.0,1.0,1.0
2018-02-08,0.8828525923048154,1.0,0.8794432367873477,1.0,1.0,1.0
2018-02-09,0.8340172700917524,1.0,0.8519328780027383,1.0,1.0,1.0
2018-02-12,0.8482805971832412,1.0,0.8727451795649172,1.0,1.0,1.0
2018-02-13,0.8475888243562383,1.0,0.8734859761747524,1.0,1.0,1.0
2018-02-14,0.8528848771766252,1.0,0.8752412599013722,1.0,1.0,1.0
2018-02-22,0.8641193326442588,1.0,0.890606495576473,1.0,1.0,1.0
2018-02-23,0.8779337615240046,1.0,0.8947560100808298,1.0,1.0,1.0
2018-02-26,0.8881583807108119,1.0,0.91558471211645,1.0,1.0,1.0
2018-02-27,0.8958257533272238,1.0,0.9182761628560083,1.0,1.0,1.0
2018-02-28,0.8912769944679427,1.0,0.9188478926143163,1.0,1.0,1.0
2018-03-01,0.898227410144669,1.0,0.9322528507342418,1.0,1.0,1.0
2018-03-02,0.883097592795908,1.0,0.9280272713598188,1.0,1.0,1.0
2018-03-05,0.894313843809028,1.0,0.9342647466806078,1.0,1.0,1.0
2018-03-06,0.9059382469400882,1.0,0.9448423811041271,1.0,1.0,1.0
2018-03-07,0.8997215175019359,1.0,0.9399441535829745,1.0,1.0,1.0
2018-03-08,0.9153014808939356,1.0,0.9491492192905193,1.0,1.0,1.0
2018-03-09,0.9326199002139297,1.0,0.9640233630712772,1.0,1.0,1.0
2018-03-12,0.9563999235269671,1.0,0.9777948325033857,1.0,1.0,1.0
2018-03-13,0.9685294287724854,1.0,0.9729046484624378,1.0,1.0,1.0
2018-03-14,0.9690048153004412,1.0,0.9636140051627546,1.0,1.0,1.0
2018-03-15,0.9633574067866295,1.0,0.9559475991365802,1.0,1.0,1.0
2018-03-16,0.9619196329092085,1.0,0.9558531801891168,1.0,1.0,1.0
2018-03-19,0.9600188057207619,1.0,0.9601411013863567,1.0,1.0,1.0
2018-03-20,0.9860338410412002,1.0,0.9636647152286347,1.0,1.0,1.0
2018-03-21,0.9891426961826875,1.0,0.9589097907770471,1.0,1.0,1.0
2018-03-22,1.013336335217159,1.0,0.9608751472078744,1.0,1.0,1.0
2018-03-23,0.9632431989963385,1.0,0.909890219502273,1.0,1.0,1.0
2018-03-26,0.9692116545329863,1.0,0.9230010671962783,1.0,1.0,1.0
2018-03-27,0.9730554873791358,1.0,0.9467257768777577,1.0,1.0,1.0
2018-03-28,0.9645480632529801,1.0,0.9423534499487709,1.0,1.0,1.0
2018-03-29,0.9792217329392476,1.0,0.9517230304351886,1.0,1.0,1.0
2018-03-30,0.9953041850747031,1.0,0.9658960407618623,1.0,1.0,1.0
2018-04-02,1.0037569924859846,1.0,0.970197483435822,1.0,1.0,1.0
2018-04-03,0.9933360292132032,1.0,0.9628452440735891,1.0,1.0,1.0
2018-04-04,0.9867982462317894,1.0,0.9589809480895557,1.0,1.0,1.0
2018-04-09,0.9902120080890711,1.0,0.9627283821751176,1.0,1.0,1.0
2018-04-10,1.0079349517679375,1.0,0.9648109250086184,1.0,1.0,1.0
2018-04-11,1.0115153607021619,1.0,0.972254648717556,1.0,1.0,1.0
2018-04-12,1.0067557763239139,1.0,0.9673979654342003,1.0,1.0,1.0
2018-04-13,1.0078112802746704,1.0,0.9645361710466975,1.0,1.0,1.0
2018-04-16,0.9950723005487142,1.0,0.9580800783830615,1.0,1.0,1.0
2018-04-17,0.9611285932468565,1.0,0.9374541780013016,1.0,1.0,1.0
2018-04-18,0.9744050629756225,1.0,0.9477572762827438,1.0,1.0,1.0
2018-04-19,0.9860120716852456,1.0,0.9505132456405623,1.0,1.0,1.0
2018-04-20,0.9731127616728287,1.0,0.9281466365812153,1.0,1.0,1.0
2018-04-23,0.9652771390435511,1.0,0.9220968654150741,1.0,1.0,1.0
2018-04-24,0.9996436739008858,1.0,0.9430908405664152,1.0,1.0,1.0
2018-04-25,1.0036827526772023,1.0,0.9475556670946678,1.0,1.0,1.0
2018-04-26,0.9959455853774255,1.0,0.9287997130050186,1.0,1.0,1.0
2018-04-27,0.9924556076118954,1.0,0.9299390944964331,1.0,1.0,1.0
2018-05-02,0.9849697748925286,1.0,0.92506978939799,1.0,1.0,1.0
2018-05-03,0.9881410280622784,1.0,0.9351609264507857,1.0,1.0,1.0
2018-05-04,0.9899149882429072,1.0,0.9334950825362148,1.0,1.0,1.0
2018-05-07,1.0015701348241397,1.0,0.9502604058316223,1.0,1.0,1.0
2018-05-08,1.0050638040640476,1.0,0.957727533842867,1.0,1.0,1.0
2018-05-09,1.0098187236964893,1.0,0.9590738699458444,1.0,1.0,1.0
2018-05-10,1.0133257231420147,1.0,0.9646825907245563,1.0,1.0,1.0
2018-05-11,0.9981293231353721,1.0,0.9540209614143867,1.0,1.0,1.0
2018-05-14,0.9869972301913704,1.0,0.9482103369852986,1.0,1.0,1.0
2018-05-15,0.9971898986403341,1.0,0.9591313605672283,1.0,1.0,1.0
2018-05-16,0.9889454951728844,1.0,0.9550949169535162,1.0,1.0,1.0
2018-05-17,0.9947741816901541,1.0,0.9536276057435072,1.0,1.0,1.0
2018-05-18,1.0038019834740335,1.0,0.9584475802645135,1.0,1.0,1.0
2018-05-21,1.0188508300578003,1.0,0.9713302705374887,1.0,1.0,1.0
2018-05-22,1.0193655812839864,1.0,0.9771241559554098,1.0,1.0,1.0
2018-05-23,1.0046374256552277,1.0,0.9671801176417533,1.0,1.0,1.0
2018-05-24,1.0075599852117987,1.0,0.9659071295420888,1.0,1.0,1.0
2018-05-25,0.9969004413757514,1.0,0.9590016736995344,1.0,1.0,1.0
2018-05-28,1.0002890056660316,1.0,0.9503701941242638,1.0,1.0,1.0
2018-05-29,0.996377468128727,1.0,0.9425338712654733,1.0,1.0,1.0
2018-05-30,0.966751554132938,1.0,0.9067402592508937,1.0,1.0,1.0
2018-05-31,0.9871368097242318,1.0,0.9222816705985923,1.0,1.0,1.0
2018-06-01,0.972736165458994,1.0,0.9135162759204727,1.0,1.0,1.0
2018-06-04,0.9646186821582386,1.0,0.9113376230681434,1.0,1.0,1.0
2018-06-05,0.9823108360893041,1.0,0.9258204128109144,1.0,1.0,1.0
2018-06-06,0.9782127662559177,1.0,0.9284078212200106,1.0,1.0,1.0
2018-06-07,0.97641095121684,1.0,0.9206643578711023,1.0,1.0,1.0
2018-06-08,0.9697436917716143,1.0,0.9110245816047454,1.0,1.0,1.0
2018-06-11,0.963740797902117,1.0,0.9050413860835799,1.0,1.0,1.0
2018-06-12,0.9624998611572182,1.0,0.911545222380621,1.0,1.0,1.0
2018-06-13,0.9537021457596419,1.0,0.8954898745834534,1.0,1.0,1.0
2018-06-14,0.9458093664077192,1.0,0.8923205155900285,1.0,1.0,1.0
2018-06-15,0.9275296872874897,1.0,0.8713784443750828,1.0,1.0,1.0
2018-06-19,0.8600814858526141,1.0,0.8113035250657074,1.0,1.0,1.0
2018-06-20,0.8569230461028491,1.0,0.8201156345517472,1.0,1.0,1.0
2018-06-21,0.8308564711679433,1.0,0.7987553321582099,1.0,1.0,1.0
2018-06-22,0.842406844952725,1.0,0.8106953441717467,1.0,1.0,1.0
2018-06-25,0.8445278990272893,1.0,0.8088107350115391,1.0,1.0,1.0
2018-06-26,0.8542059684385161,1.0,0.8176036761146347,1.0,1.0,1.0
2018-06-27,0.8458565879090988,1.0,0.8139199589335526,1.0,1.0,1.0
2018-06-28,0.8371719548872204,1.0,0.8055402295751601,1.0,1.0,1.0
2018-06-29,0.8608483533746017,1.0,0.8286051339599549,1.0,1.0,1.0
2018-07-02,0.8486345995087337,1.0,0.8179791962739437,1.0,1.0,1.0
2018-07-03,0.8552811056920862,1.0,0.8301851453870245,1.0,1.0,1.0
2018-07-04,0.8375551304411687,1.0,0.8148391981610258,1.0,1.0,1.0
2018-07-05,0.815155793076555,1.0,0.7935083110168127,1.0,1.0,1.0
2018-07-06,0.8124529484072193,1.0,0.7970324727553575,1.0,1.0,1.0
2018-07-09,0.8260856152238003,1.0,0.8141701328486483,1.0,1.0,1.0
2018-07-10,0.8337800675192113,1.0,0.8214966440687129,1.0,1.0,1.0
2018-07-11,0.8127533312273648,1.0,0.8019792974483029,1.0,1.0,1.0
2018-07-12,0.835616345016636,1.0,0.8227029951560993,1.0,1.0,1.0
2018-07-13,0.8376676102575114,1.0,0.8248678999532616,1.0,1.0,1.0
2018-07-16,0.8407222460258917,1.0,0.8247120849405181,1.0,1.0,1.0
2018-07-17,0.844166150062794,1.0,0.8270550717532226,1.0,1.0,1.0
2018-07-18,0.8463107856657656,1.0,0.8234496549963268,1.0,1.0,1.0
2018-07-19,0.8333202563601451,1.0,0.8140906754730478,1.0,1.0,1.0
2018-07-20,0.8433588037840494,1.0,0.8233742337379051,1.0,1.0,1.0
2018-07-23,0.8409616424413141,1.0,0.8294997698947878,1.0,1.0,1.0
2018-07-24,0.8562147330166149,1.0,0.8437678240067956,1.0,1.0,1.0
2018-07-25,0.8563887674578272,1.0,0.8451407225064305,1.0,1.0,1.0
2018-07-26,0.853998920608347,1.0,0.8441702725006603,1.0,1.0,1.0
2018-07-27,0.8461411989035641,1.0,0.839601258646891,1.0,1.0,1.0
2018-07-30,0.8325819712845218,1.0,0.8272139549980102,1.0,1.0,1.0
2018-07-31,0.8366967440266381,1.0,0.8284148275025758,1.0,1.0,1.0
2018-08-01,0.8203956537756605,1.0,0.8154169177791355,1.0,1.0,1.0
2018-08-02,0.7992656439315758,1.0,0.7939726811005853,1.0,1.0,1.0
2018-08-03,0.788231165415881,1.0,0.785078466221269,1.0,1.0,1.0
2018-08-06,0.772183219619418,1.0,0.7698763067079677,1.0,1.0,1.0
2018-08-07,0.793876143741934,1.0,0.7896413739525341,1.0,1.0,1.0
2018-08-08,0.7807064637868187,1.0,0.7778705432576632,1.0,1.0,1.0
2018-08-09,0.8011670236131277,1.0,0.7944922774056877,1.0,1.0,1.0
2018-08-10,0.8079576341744349,1.0,0.7994832473172714,1.0,1.0,1.0
2018-08-13,0.8180742985070583,1.0,0.8017117983640274,1.0,1.0,1.0
2018-08-14,0.8165340983384833,1.0,0.801485429245838,1.0,1.0,1.0
2018-08-15,0.8044482845575902,1.0,0.7863500497404564,1.0,1.0,1.0
2018-08-16,0.7960501126162371,1.0,0.7786212000980957,1.0,1.0,1.0
2018-08-17,0.779541476964679,1.0,0.764820689315646,1.0,1.0,1.0
2018-08-20,0.7804880140709349,1.0,0.7689586881653382,1.0,1.0,1.0
2018-08-21,0.7894552155192565,1.0,0.7771043866325965,1.0,1.0,1.0
2018-08-22,0.7826229983044884,1.0,0.7682268496125797,1.0,1.0,1.0
2018-08-23,0.7860311164894144,1.0,0.7731858147653666,1.0,1.0,1.0
2018-08-24,0.7876155560205906,1.0,0.7710876836928922,1.0,1.0,1.0
2018-08-27,0.8022751543790745,1.0,0.7862533042281341,1.0,1.0,1.0
