,Q_1,Q_2,Q_3,Q_4,Q_5,Q_LS
2018-01-02,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-03,0.004583,0.0,0.008350913703703703,0.0,0.0,0.0
2018-01-04,0.01736115384615385,0.0,0.0013583672713809699,0.0,0.0,0.0
2018-01-05,0.0041992,0.0,0.001004282656826568,0.0,0.0,0.0
2018-01-08,0.0007155454545454555,0.0,0.0017389196757553425,0.0,0.0,0.0
2018-01-09,-0.004938545454545454,0.0,0.00018446221570066033,0.0,0.0,0.0
2018-01-10,-0.011751500000000002,0.0,-0.007469933626696003,0.0,0.0,0.0
2018-01-11,0.023539249999999998,0.0,0.0065312436084733385,0.0,0.0,0.0
2018-01-12,0.004215416666666667,0.0,-0.004367869407057112,0.0,0.0,0.0
2018-01-15,-0.0142516,0.0,-0.024818074452554743,0.0,0.0,0.0
2018-01-16,0.014184416666666665,0.0,0.0081181056998557,0.0,0.0,0.0
2018-01-17,0.013381642857142856,0.0,0.0014745727665706051,0.0,0.0,0.0
2018-01-18,-0.003109714285714285,0.0,0.002100184692777578,0.0,0.0,0.0
2018-01-19,0.00483,0.0,-0.0014569910746162085,0.0,0.0,0.0
2018-01-22,0.018345117647058824,0.0,0.0052073824686940965,0.0,0.0,0.0
2018-01-23,-0.0032194999999999993,0.0,0.0022935364120781525,0.0,0.0,0.0
2018-01-24,0.009153999999999999,0.0,0.006841530916844349,0.0,0.0,0.0
2018-01-25,-0.009904142857142858,0.0,-0.0017179188806234504,0.0,0.0,0.0
2018-01-26,-0.007156888888888888,0.0,-0.002444914840989399,0.0,0.0,0.0
2018-01-29,-0.013647560000000001,0.0,-0.011113862154500356,0.0,0.0,0.0
2018-01-30,-0.012908363636363638,0.0,-0.0021340380147835273,0.0,0.0,0.0
2018-01-31,-0.011268300000000005,0.0,-0.025389669943820223,0.0,0.0,0.0
2018-02-01,-0.0537532,0.0,-0.03946236220747467,0.0,0.0,0.0
2018-02-02,-0.021976650000000004,0.0,-0.007211324032089293,0.0,0.0,0.0
2018-02-05,-0.016072799999999998,0.0,-0.006799092715231788,0.0,0.0,0.0
2018-02-06,-0.04714694444444445,0.0,-0.05259974922064427,0.0,0.0,0.0
2018-02-07,-0.0008896923076923072,0.0,0.004534448192771084,0.0,0.0,0.0
2018-02-08,-0.0027147999999999994,0.0,0.012029638019938123,0.0,0.0,0.0
2018-02-09,-0.05531537499999999,0.0,-0.03128156273633551,0.0,0.0,0.0
2018-02-12,0.01710195652173913,0.0,0.02442950859106529,0.0,0.0,0.0
2018-02-13,-0.0008154999999999981,0.0,0.0008488120326308635,0.0,0.0,0.0
2018-02-14,0.0062483750000000005,0.0,0.0020095156356220254,0.0,0.0,0.0
2018-02-22,0.0131723,0.0,0.017555428861788618,0.0,0.0,0.0
2018-02-23,0.015986714285714285,0.0,0.004659200808625337,0.0,0.0,0.0
2018-02-26,0.01164623076923077,0.0,0.023278638870208472,0.0,0.0,0.0
2018-02-27,0.00863288888888889,0.0,0.002939597728032075,0.0,0.0,0.0
2018-02-28,-0.005077727272727273,0.0,0.0006226119999999999,0.0,0.0,0.0
2018-03-01,0.007798266666666666,0.0,0.014588876165113184,0.0,0.0,0.0
2018-03-02,-0.016844083333333332,0.0,-0.0045326537442014585,0.0,0.0,0.0
2018-03-05,0.012701032258064517,0.0,0.006721219853431046,0.0,0.0,0.0
2018-03-06,0.012998125000000001,0.0,0.011321881148894024,0.0,0.0,0.0
2018-03-07,-0.006862199999999999,0.0,-0.00518417422748192,0.0,0.0,0.0
2018-03-08,0.017316428571428573,0.0,0.009793204918032788,0.0,0.0,0.0
2018-03-09,0.018921,0.0,0.015671027777777777,0.0,0.0,0.0
2018-03-12,0.02549808695652174,0.0,0.01428541045751634,0.0,0.0,0.0
2018-03-13,0.01268246153846154,0.0,-0.005001237354085603,0.0,0.0,0.0
2018-03-14,0.0004908333333333336,0.0,-0.00954938730569948,0.0,0.0,0.0
2018-03-15,-0.005828050000000001,0.0,-0.007955888960828748,0.0,0.0,0.0
2018-03-16,-0.0014924615384615389,0.0,-9.877000323939097e-05,0.0,0.0,0.0
2018-03-19,-0.0019760769230769233,0.0,0.004485962160413972,0.0,0.0,0.0
2018-03-20,0.02709846428571428,0.0,0.0036698916827853,0.0,0.0,0.0
2018-03-21,0.0031528888888888895,0.0,-0.00493421039127646,0.0,0.0,0.0
2018-03-22,0.024459199999999997,0.0,0.0020495738491048596,0.0,0.0,0.0
2018-03-23,-0.04943386956521739,0.0,-0.05306092873122403,0.0,0.0,0.0
2018-03-26,0.006196208333333333,0.0,0.014409263241863434,0.0,0.0,0.0
2018-03-27,0.003965937499999999,0.0,0.025703881094683863,0.0,0.0,0.0
2018-03-28,-0.008743,0.0,-0.004618366834170854,0.0,0.0,0.0
2018-03-29,0.015212999999999999,0.0,0.009942745460237944,0.0,0.0,0.0
2018-03-30,0.016423708333333335,0.0,0.014891948469706434,0.0,0.0,0.0
2018-04-02,0.008492687499999999,0.0,0.0044533184653774175,0.0,0.0,0.0
2018-04-03,-0.010381958333333333,0.0,-0.007578085377212046,0.0,0.0,0.0
2018-04-04,-0.006581642857142856,0.0,-0.0040134133785450065,0.0,0.0,0.0
2018-04-09,0.003459432432432433,0.0,0.00390772527131783,0.0,0.0,0.0
2018-04-10,0.01789813043478261,0.0,0.002163167589175892,0.0,0.0,0.0
2018-04-11,0.0035522222222222222,0.0,0.007715214987714988,0.0,0.0,0.0
2018-04-12,-0.004705400000000001,0.0,-0.0049952790555044466,0.0,0.0,0.0
2018-04-13,0.0010484210526315783,0.0,-0.0029582389975550123,0.0,0.0,0.0
2018-04-16,-0.012640243243243244,0.0,-0.006693468692449355,0.0,0.0,0.0
2018-04-17,-0.034111800000000005,0.0,-0.02152836787564767,0.0,0.0,0.0
2018-04-18,0.013813416666666665,0.0,0.010990508681084376,0.0,0.0,0.0
2018-04-19,0.011911892857142855,0.0,0.0029078852009744214,0.0,0.0,0.0
2018-04-20,-0.013082304347826087,0.0,-0.023531086138914165,0.0,0.0,0.0
2018-04-23,-0.008052121951219512,0.0,-0.006518120012183978,0.0,0.0,0.0
2018-04-24,0.035602764705882355,0.0,0.022767646153846154,0.0,0.0,0.0
2018-04-25,0.004040518518518518,0.0,0.004734248638838475,0.0,0.0,0.0
2018-04-26,-0.007708777777777776,0.0,-0.01979403927492447,0.0,0.0,0.0
2018-04-27,-0.0035041851851851844,0.0,0.0012267246376811594,0.0,0.0,0.0
2018-05-02,-0.007542738095238096,0.0,-0.005236154848484848,0.0,0.0,0.0
2018-05-03,0.0032196451612903224,0.0,0.010908514328808447,0.0,0.0,0.0
2018-05-04,0.00179525,0.0,-0.001781344651442308,0.0,0.0,0.0
2018-05-07,0.011773886363636365,0.0,0.017959733917245542,0.0,0.0,0.0
