,Q_1,Q_2,Q_3,Q_4,Q_5,Q_LS
2018-01-02,1.0,1.0,1.0,1.0,1.0,1.0
2018-01-03,1.0,1.0,1.0088060597014925,1.0,1.036332,1.0
2018-01-04,1.0,1.0,1.0158551618840763,1.0,1.033261348284,1.0
2018-01-05,1.0,1.0,1.0204817874995342,1.0,1.0539083898499502,1.0
2018-01-08,1.0,1.0,1.0245807900378578,1.0,1.0418909359575885,1.0
2018-01-09,1.0,1.0,1.0281869549167597,1.0,1.015741557246925,1.0
2018-01-10,1.0,1.0,1.0241409086857394,1.0,1.0127742859463333,1.0
2018-01-11,1.0,1.0,1.0306761794109316,1.0,1.0127742859463333,1.0
2018-01-12,1.0,1.0,1.0280564859808878,1.0,1.0323752662829673,1.0
2018-01-15,1.0,1.0,1.0032347036341265,1.0,1.0084358603582204,1.0
2018-01-16,1.0,1.0,1.0156566316230144,1.0,1.029604189611965,1.0
2018-01-17,1.0,1.0,1.0139689329215988,1.0,1.0387069202523245,1.0
2018-01-18,1.0,1.0,1.022926050069108,1.0,1.0303793471959315,1.0
2018-01-19,1.0,1.0,1.0180449143138504,1.0,1.0303793471959315,1.0
2018-01-22,1.0,1.0,1.0208068764506117,1.0,1.0466067915349202,1.0
2018-01-23,1.0,1.0,1.0241828438778198,1.0,1.0466067915349202,1.0
2018-01-24,1.0,1.0,1.0322624100025821,1.0,1.017326082649506,1.0
2018-01-25,1.0,1.0,1.0277297986967946,1.0,1.0324993316178763,1.0
2018-01-26,1.0,1.0,1.0237342391491764,1.0,1.01512615369763,1.0
2018-01-29,1.0,1.0,1.0138716545818687,1.0,0.9923251876323945,1.0
2018-01-30,1.0,1.0,1.012011220373144,1.0,0.9859246901721657,1.0
2018-01-31,1.0,1.0,0.980394760200645,1.0,0.9347755088008478,1.0
2018-02-01,1.0,1.0,0.9330260432777077,1.0,0.9007990675865453,1.0
2018-02-02,1.0,1.0,0.922451100886278,1.0,0.8899328185141555,1.0
2018-02-05,1.0,1.0,0.9150022452499608,1.0,0.877747246534247,1.0
2018-02-06,1.0,1.0,0.8680604626165107,1.0,0.8593646834775521,1.0
2018-02-07,1.0,1.0,0.868254778712524,1.0,0.8473101602212416,1.0
2018-02-08,1.0,1.0,0.8751650255507907,1.0,0.8652681929753306,1.0
2018-02-09,1.0,1.0,0.8420382790036421,1.0,0.8150968281811263,1.0
2018-02-12,1.0,1.0,0.8621858440041199,1.0,0.8519887339339431,1.0
2018-02-13,1.0,1.0,0.8639173424836258,1.0,0.8624129012924984,1.0
2018-02-14,1.0,1.0,0.8647871949382524,1.0,0.8366205030503182,1.0
2018-02-22,1.0,1.0,0.8805701377706721,1.0,0.860979007789665,1.0
2018-02-23,1.0,1.0,0.8900893391469776,1.0,0.8863579138064794,1.0
2018-02-26,1.0,1.0,0.9110564663224724,1.0,0.901920659920253,1.0
2018-02-27,1.0,1.0,0.9196665863289574,1.0,0.8891493506356998,1.0
2018-02-28,1.0,1.0,0.9188642329697542,1.0,0.8499637977953923,1.0
2018-03-01,1.0,1.0,0.9394975423910572,1.0,0.8397727318598256,1.0
