,Q_1,Q_2,Q_3,Q_4,Q_5,Q_LS
2018-01-02,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-03,0.0,0.0,0.008806059701492537,0.0,0.036331999999999996,0.0
2018-01-04,0.0,0.0,0.006987569230769231,0.0,-0.0029630000000000004,0.0
2018-01-05,0.0,0.0,0.004554414634146341,0.0,0.0199824,0.0
2018-01-08,0.0,0.0,0.004016732673267327,0.0,-0.01140275,0.0
2018-01-09,0.0,0.0,0.003519649122807018,0.0,-0.025098,0.0
2018-01-10,0.0,0.0,-0.003935126984126984,0.0,-0.002921285714285714,0.0
2018-01-11,0.0,0.0,0.006381222222222222,0.0,0.0,0.0
2018-01-12,0.0,0.0,-0.0025417230769230787,0.0,0.019353750000000003,0.0
2018-01-15,0.0,0.0,-0.024144376,0.0,-0.023188666666666663,0.0
2018-01-16,0.0,0.0,0.012381876288659794,0.0,0.020991249999999996,0.0
2018-01-17,0.0,0.0,-0.0016616823529411752,0.0,0.008841,0.0
2018-01-18,0.0,0.0,0.008833719512195122,0.0,-0.00801725,0.0
2018-01-19,0.0,0.0,-0.0047717386363636365,0.0,0.0,0.0
2018-01-22,0.0,0.0,0.002713006172839506,0.0,0.015749,0.0
2018-01-23,0.0,0.0,0.0033071558441558455,0.0,0.0,0.0
2018-01-24,0.0,0.0,0.00788879268292683,0.0,-0.027976800000000003,0.0
2018-01-25,0.0,0.0,-0.004390948717948717,0.0,0.014914833333333329,0.0
2018-01-26,0.0,0.0,-0.0038877529411764705,0.0,-0.016826333333333332,0.0
2018-01-29,0.0,0.0,-0.009633930555555555,0.0,-0.022461214285714286,0.0
2018-01-30,0.0,0.0,-0.001834980000000001,0.0,-0.00645,0.0
2018-01-31,0.0,0.0,-0.03124121505376344,0.0,-0.051879400000000006,0.0
2018-02-01,0.0,0.0,-0.04831596296296296,0.0,-0.03634716666666667,0.0
2018-02-02,0.0,0.0,-0.011334027027027028,0.0,-0.012062900000000001,0.0
2018-02-05,0.0,0.0,-0.008075068292682926,0.0,-0.013692687500000003,0.0
2018-02-06,0.0,0.0,-0.051302368794326245,0.0,-0.02094288888888889,0.0
2018-02-07,0.0,0.0,0.00022385087719298242,0.0,-0.01402725,0.0
2018-02-08,0.0,0.0,0.007958777777777778,0.0,0.021194166666666663,0.0
2018-02-09,0.0,0.0,-0.037852,0.0,-0.0579836,0.0
2018-02-12,0.0,0.0,0.023927136690647482,0.0,0.04526076470588235,0.0
2018-02-13,0.0,0.0,0.002008265957446808,0.0,0.012235100000000002,0.0
2018-02-14,0.0,0.0,0.0010068700000000002,0.0,-0.02990725,0.0
2018-02-22,0.0,0.0,0.018250666666666665,0.0,0.029115357142857144,0.0
2018-02-23,0.0,0.0,0.010810270491803277,0.0,0.029476800000000004,0.0
2018-02-26,0.0,0.0,0.023556205263157895,0.0,0.017558083333333332,0.0
2018-02-27,0.0,0.0,0.009450698529411765,0.0,-0.014160124999999999,0.0
2018-02-28,0.0,0.0,-0.0008724393939393942,0.0,-0.04407083333333333,0.0
2018-03-01,0.0,0.0,0.022455231884057972,0.0,-0.01199,0.0
2018-03-02,0.0,0.0,-0.0006106250000000004,0.0,-0.018787400000000003,0.0
2018-03-05,0.0,0.0,0.007763122340425532,0.0,0.0029596249999999996,0.0
2018-03-06,0.0,0.0,0.013286817567567569,0.0,0.00044275000000000043,0.0
2018-03-07,0.0,0.0,-0.005672813725490197,0.0,-0.005743099999999998,0.0
2018-03-08,0.0,0.0,0.01219183435582822,0.0,0.028257333333333336,0.0
2018-03-09,0.0,0.0,0.017982407079646018,0.0,0.02369644444444444,0.0
2018-03-12,0.0,0.0,0.016360309417040357,0.0,0.017843684210526317,0.0
2018-03-13,0.0,0.0,-0.0009994954128440367,0.0,-0.014323499999999998,0.0
2018-03-14,0.0,0.0,-0.005173441860465116,0.0,0.006311999999999998,0.0
2018-03-15,0.0,0.0,-0.006018801801801802,0.0,0.032271400000000006,0.0
2018-03-16,0.0,0.0,0.003346823129251701,0.0,0.01643366666666667,0.0
2018-03-19,0.0,0.0,0.007366744588744589,0.0,0.010361909090909093,0.0
2018-03-20,0.0,0.0,0.007796990566037736,0.0,0.020715818181818182,0.0
2018-03-21,0.0,0.0,-0.003431310975609756,0.0,-0.0033819999999999996,0.0
2018-03-22,0.0,0.0,0.008040146892655368,0.0,-0.0115582,0.0
2018-03-23,0.0,0.0,-0.04794847777777778,0.0,-0.05124220000000001,0.0
2018-03-26,0.0,0.0,0.018868205378973105,0.0,0.011488571428571428,0.0
2018-03-27,0.0,0.0,0.029540788135593223,0.0,0.024730999999999996,0.0
2018-03-28,0.0,0.0,-0.008058699386503066,0.0,0.0023496000000000038,0.0
2018-03-29,0.0,0.0,0.013998150289017342,0.0,0.010636333333333333,0.0
