,word,count,value
0, ,1063704,0
1,　,410442,0
2,元,319263,0
3,年,263327,0
4,公司,250013,0
5,融资,214947,0
6,月,197024,0
7,融券,196242,0
8,股,183677,0
9,中国,177970,0
10,茅台,157176,0
11,都,142080,0
12,日,124808,0
13,1,116222,0
14,证券,115631,0
15,.,115444,0
16,亿元,109514,0
17,市场,109343,0
18,数据,101307,0
19,股份,99673,0
20,大,95130,0
21,投资,93187,1
22,2018,90191,0
23,资金,88919,0
24,银行,88569,0
25,累计,88236,0
26,余额,88086,0
27,成交,86380,0
28,万,86102,0
29,买,84548,1
30,占,83806,0
31,中,82121,0
32,2,81078,0
33,买入,80551,1
34,上,80337,1
35,来源,80303,0
36,还,80271,0
37,会,79814,0
38,量,78535,0
39,额,77360,0
40,3,77235,0
41,股票,75970,0
42,10,75078,0
43,2017,74298,0
44,万元,71336,0
45,今天,70846,0
46,股价,69262,0
47,东方,68942,0
48,沪,67384,0
49,公告,66158,0
50,亿,64011,0
51,增长,63926,1
52,好,61604,1
53,5,61574,0
54,人,61536,0
55,主力,60069,0
56,有限公司,59845,0
57,价格,59318,0
58,集团,57794,0
59,业绩,57281,0
60,…,57201,-1
61,股东,57073,0
62,后,56331,0
63,偿还,56202,-1
64,企业,54809,0
65,A股,54727,0
66,净流入,54413,0
67,行业,53827,0
68,查看,53427,0
69,业务,53094,0
70,2019,52494,0
71,卖出,52055,-1
72,股通,51719,0
73,涨幅,51622,0
74,现在,51207,0
75,已经,51105,0
76,交易,50965,0
77,贵州,50264,0
78,4,49440,0
79,看,49259,0
80,说,49230,0
81,投资者,49169,0
82,券商,48797,0
83,新,47480,0
84,成交量,47328,0
85,机构,47032,0
86,价值,46581,0
87,净,46574,0
88,大盘,46280,0
89,6,45879,0
90,目前,45600,0
91,高,45374,1
92,9,44678,0
93,未来,42488,0
94,信息,42437,0
95,持股,42176,0
96,显示,42164,0
97,再,41663,0
98,12,41641,0
99,基金,41468,0
100,做,40901,0
101,点,40774,0
102,风险,40722,-1
103,可能,40669,0
104,下,40109,0
105,30,40054,0
106,同比,39329,0
107,11,39189,0
108,继续,39138,0
109,主买,38471,1
110,大家,37983,0
111,已,37932,0
112,万股,37762,0
113,情况,37705,0
114,简称,37442,0
115,股市,37242,0
116,板块,37075,0
117,资产,36772,0
118,15,36127,0
119,7,36070,0
120,点击,35954,0
121,科技,35900,0
122,8,35436,0
123,原文,35272,0
124,最,35189,0
125,明天,34365,0
126,去,34136,0
127,倍,34112,0
128,比例,34077,0
129,上市,33343,0
130,产品,33162,0
131,金融,33149,0
132,20,32765,0
133,更,32706,0
134,内容,32626,0
135,个股,32485,0
136,代码,32343,0
137,很,32321,0
138,指数,32315,0
139,北京,32108,0
140,相关,31845,0
141,发行,31475,0
142,今年,31470,0
143,左右,31375,0
144,市值,31357,0
145,伊利,31315,0
146,以上,30946,0
147, ,30611,0
148,前,30588,0
149,主要,30567,0
150,财富网,30513,0
151,项目,30173,0
152,想,29975,0
153,分红,29948,0
154,净利润,29463,0
155,航空,29245,0
156,上市公司,28987,0
157,经济,28906,0
158,主卖,28846,-1
159,董事会,28729,0
160,卖,28634,-1
161,保险,28632,0
162,技术,28619,0
163,才,28580,0
164,时间,28481,0
165,估值,28271,0
166,信威,28263,0
167,上海,28251,0
168,2016,28244,0
169,持有,28225,1
170,中信证券,27857,0
171,全部,27763,0
172,散户,27727,0
173,内,27665,0
174,分别,27566,0
175,国家,27563,0
176,调整,27518,0
177,余量,27417,0
178,净买额,27392,0
179,500,27314,0
180,日期,26934,0
181,持续,26784,0
182,收入,26674,0
183,变化,26393,0
184,行情,26032,0
185,只,25941,0
186,东方明珠,25890,0
187,100,25820,0
188,走,25685,-1
189,截至,25545,0
190,300,25436,0
191,1000,25133,0
192,人民币,24898,0
193,历史,24895,0
194,表示,24881,0
195,以下,24846,0
196,时,24682,0
197,!,24576,0
198,收益,24561,0
199,关注,24297,0
200,低,24269,0
201,海通,24214,0
202,钱,24169,0
203,出现,24061,0
204,大单,24055,0
205,董事,23798,0
206,应该,23605,0
207,每股,23577,0
208,认为,23347,0
209,今日,23316,0
210,本次,23244,0
211,债券,23124,0
