,Q_1,Q_2,Q_3,Q_4,Q_5,Q_LS
2018-01-02,1.0,1.0,1.0,1.0,1.0,1.0
2018-01-03,1.0141952307692308,1.0,1.0082514724822165,1.0,1.0,1.0
2018-01-04,1.0204335917334755,1.0,1.0096199752267947,1.0,1.0,1.0
2018-01-05,1.02954055336626,1.0,1.010480991643529,1.0,1.0,1.0
2018-01-08,1.0360918405838953,1.0,1.0121268683171916,1.0,1.0,1.0
2018-01-09,1.034358014895238,1.0,1.0123119489224037,1.0,1.0,1.0
2018-01-10,1.0324929555718938,1.0,1.0046459798845089,1.0,1.0,1.0
2018-01-11,1.0455342450321028,1.0,1.0111745925880475,1.0,1.0,1.0
2018-01-12,1.0469621898024644,1.0,1.0067088128639339,1.0,1.0,1.0
2018-01-15,1.0235698287068817,1.0,0.9817545454870368,1.0,1.0,1.0
2018-01-16,1.0419471963771667,1.0,0.9895272156506163,1.0,1.0,1.0
2018-01-17,1.0441016454800758,1.0,0.9910360331028788,1.0,1.0,1.0
2018-01-18,1.051812710432536,1.0,0.9929898815896957,1.0,1.0,1.0
2018-01-19,1.0494519646136389,1.0,0.9915623557381329,1.0,1.0,1.0
2018-01-22,1.0585327665554443,1.0,0.9966699601970049,1.0,1.0,1.0
2018-01-23,1.0697082743534791,1.0,0.9988096327144301,1.0,1.0,1.0
2018-01-24,1.0789152296995446,1.0,1.005626126232676,1.0,1.0,1.0
2018-01-25,1.079843995893111,1.0,1.0038125871437746,1.0,1.0,1.0
2018-01-26,1.0779611506179667,1.0,1.001328097911295,1.0,1.0,1.0
2018-01-29,1.0685149875207436,1.0,0.9900880002561873,1.0,1.0,1.0
2018-01-30,1.0751064605843448,1.0,0.9877154219685523,1.0,1.0,1.0
2018-01-31,1.0519962971398094,1.0,0.9626778566026466,1.0,1.0,1.0
2018-02-01,1.002448689452577,1.0,0.9247954260216906,1.0,1.0,1.0
2018-02-02,0.9970864191168267,1.0,0.9179906443430917,1.0,1.0,1.0
2018-02-05,0.989911607998211,1.0,0.9116853554417077,1.0,1.0,1.0
2018-02-06,0.9466441968406223,1.0,0.863571093026168,1.0,1.0,1.0
2018-02-07,0.9518908196170635,1.0,0.8674466951689912,1.0,1.0,1.0
2018-02-08,0.965454012236455,1.0,0.8777787004230465,1.0,1.0,1.0
2018-02-09,0.9285597491395325,1.0,0.8503449691766862,1.0,1.0,1.0
2018-02-12,0.9520509044678315,1.0,0.8709990903695458,1.0,1.0,1.0
2018-02-13,0.9596809958485744,1.0,0.8715715573240362,1.0,1.0,1.0
2018-02-14,0.9620281836282208,1.0,0.8733336053487661,1.0,1.0,1.0
2018-02-22,0.9809906312465406,1.0,0.8885683248233869,1.0,1.0,1.0
2018-02-23,0.9932285920331515,1.0,0.8925507625633791,1.0,1.0,1.0
2018-02-26,1.015918966328189,1.0,0.9133007609986019,1.0,1.0,1.0
