,Q_1,Q_2,Q_3,Q_4,Q_5,Q_LS
2018-01-02,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-03,0.014195230769230769,0.0,0.008251472482216398,0.0,0.0,0.0
2018-01-04,0.006151045454545454,0.0,0.0013573029962546817,0.0,0.0,0.0
2018-01-05,0.0089246,0.0,0.0008528123827392122,0.0,0.0,0.0
2018-01-08,0.0063633114754098365,0.0,0.00162880518018018,0.0,0.0,0.0
2018-01-09,-0.001673428571428571,0.0,0.00018286304909560715,0.0,0.0,0.0
2018-01-10,-0.0018031081081081083,0.0,-0.007572733924611974,0.0,0.0,0.0
2018-01-11,0.012630875,0.0,0.006498421169504071,0.0,0.0,0.0
2018-01-12,0.0013657560975609754,0.0,-0.004416427941176471,0.0,0.0,0.0
2018-01-15,-0.022343081081081084,0.0,-0.024787969528056487,0.0,0.0,0.0
2018-01-16,0.017954190476190478,0.0,0.00791712164645351,0.0,0.0,0.0
2018-01-17,0.002067714285714285,0.0,0.001524786209412623,0.0,0.0,0.0
2018-01-18,0.007385358490566037,0.0,0.001971521137026239,0.0,0.0,0.0
2018-01-19,-0.002244454545454545,0.0,-0.0014376036231884058,0.0,0.0,0.0
2018-01-22,0.008652899082568808,0.0,0.005151067332593415,0.0,0.0,0.0
2018-01-23,0.010557545454545455,0.0,0.002146821518531846,0.0,0.0,0.0
2018-01-24,0.008606977777777778,0.0,0.006824617319439454,0.0,0.0,0.0
2018-01-25,0.0008608333333333319,0.0,-0.0018033929723915384,0.0,0.0,0.0
2018-01-26,-0.0017436271186440683,0.0,-0.0024750528776978416,0.0,0.0,0.0
2018-01-29,-0.008762990291262136,0.0,-0.011225189504373177,0.0,0.0,0.0
2018-01-30,0.006168816666666666,0.0,-0.002396330717088833,0.0,0.0,0.0
2018-01-31,-0.021495697674418602,0.0,-0.025348966725663717,0.0,0.0,0.0
2018-02-01,-0.04709865217391305,0.0,-0.0393510978996084,0.0,0.0,0.0
2018-02-02,-0.005349171874999999,0.0,-0.007358148069429684,0.0,0.0,0.0
2018-02-05,-0.00719577659574468,0.0,-0.006868576428571429,0.0,0.0,0.0
2018-02-06,-0.043708358208955224,0.0,-0.052775074348132486,0.0,0.0,0.0
2018-02-07,0.005542338709677418,0.0,0.004487878501400561,0.0,0.0,0.0
2018-02-08,0.014248685185185185,0.0,0.011910824390243904,0.0,0.0,0.0
2018-02-09,-0.03821441791044775,0.0,-0.03125358502449265,0.0,0.0,0.0
2018-02-12,0.025298485477178424,0.0,0.024289108469539376,0.0,0.0,0.0
2018-02-13,0.008014373333333335,0.0,0.0006572532173913044,0.0,0.0,0.0
2018-02-14,0.0024458,0.0,0.0020216906000693723,0.0,0.0,0.0
2018-02-22,0.019710906542056074,0.0,0.017444329842931938,0.0,0.0,0.0
2018-02-23,0.01247510465116279,0.0,0.0044818587707182314,0.0,0.0,0.0
2018-02-26,0.022845067567567566,0.0,0.023247975695667486,0.0,0.0,0.0
2018-02-27,0.010300846846846849,0.0,0.0026746862677274304,0.0,0.0,0.0
2018-02-28,-0.0012834851485148517,0.0,0.0006672209621993126,0.0,0.0,0.0
2018-03-01,0.020139904255319148,0.0,0.014375660512820514,0.0,0.0,0.0
2018-03-02,0.002832269841269841,0.0,-0.004738830805527469,0.0,0.0,0.0
2018-03-05,0.010415804195804197,0.0,0.006602551557093425,0.0,0.0,0.0
